Orthogroup	Acropora_digitifera	Acropora_millepora	Aiptasia_sp	Amplexidiscus_fenestrafer	Aurelia_aurita_ATL	Aurelia_aurita_PAC	Clytia_hemisphaerica	Dendronephthya_gigantea	Discosoma_sp	Fungia_spp	Galaxea_fascicularis	Goniastrea_aspera	Hydra_vulgaris	Montipora_capitata	Morbakka_virulenta	Nematostella_vectensis	Orbicella_faveolata	Pocillopora_damicornis	Pocillopora_meandrina	Pocillopora_verrucosa	Porites_evermanni	Porites_lobata	Porites_lutea	Porites_rus	Stylophora_pistillata	Total
OG0000000	17	199	106	76	1509	907	272	36	84	96	53	135	678	647	73	69	8	117	52	102	102	133	112	479	316	6378
OG0000001	436	166	234	312	214	183	190	476	378	77	19	113	145	1105	184	19	140	95	24	288	17	43	26	504	338	5726
OG0000002	378	52	318	314	294	217	94	205	338	11	6	27	85	884	254	14	78	16	22	279	58	62	58	571	489	5124
OG0000003	234	305	103	12	14	3	1	44	19	310	68	282	0	95	1	35	122	110	409	369	279	326	245	194	164	3744
OG0000004	3	41	9	3	7	10	0	4	3	499	47	259	0	134	1	67	234	143	382	39	435	429	183	298	8	3238
OG0000005	65	92	111	17	6	7	1	91	17	247	92	146	2	103	5	233	150	71	150	69	125	108	108	121	65	2202
OG0000006	479	186	2	3	0	0	0	0	6	99	44	96	0	56	1	3	88	39	108	128	199	241	104	194	97	2173
OG0000007	24	87	39	9	69	136	31	0	18	1	22	19	0	34	1319	0	5	8	18	2	94	94	33	75	13	2150
OG0000008	87	41	166	89	0	0	5	1	125	70	34	97	8	264	0	1	21	47	186	136	124	241	52	86	86	1967
OG0000009	18	113	107	45	26	18	10	39	54	60	25	115	67	298	64	11	24	26	111	42	89	164	35	52	160	1773
OG0000010	23	49	52	8	60	45	44	152	11	164	40	111	0	60	4	62	67	67	141	98	99	125	88	71	56	1697
OG0000011	92	67	40	19	27	23	16	46	31	108	59	105	67	89	15	41	100	45	144	68	100	113	109	92	78	1694
OG0000012	19	56	32	27	6	3	2	11	28	170	73	164	1	85	3	75	174	66	122	36	141	177	103	91	19	1684
OG0000013	32	55	17	9	9	11	1	93	9	133	80	88	1	59	0	11	102	87	177	149	117	127	85	78	100	1630
OG0000014	64	98	126	12	2	1	6	30	10	146	54	118	0	88	4	22	70	39	60	53	138	150	111	106	47	1555
OG0000015	139	128	37	22	0	0	1	13	10	113	33	71	0	70	0	18	54	54	137	108	114	125	110	95	100	1552
OG0000016	27	91	9	56	9	6	9	29	20	65	58	113	1	213	1	17	15	27	78	54	126	241	149	46	49	1509
OG0000017	32	40	18	23	14	12	1	73	17	103	41	56	0	107	6	22	45	30	57	55	145	120	151	108	52	1328
OG0000018	38	45	33	10	19	14	3	6	10	128	56	96	2	64	3	63	52	49	122	69	85	101	71	44	22	1205
OG0000019	34	25	42	45	12	12	13	4	107	5	5	8	0	250	282	24	34	0	10	71	11	8	5	41	116	1164
OG0000020	17	78	26	62	76	67	39	57	76	21	44	43	5	187	0	0	16	10	45	8	38	108	27	27	26	1103
OG0000021	30	50	41	11	3	0	94	6	3	31	20	59	2	15	10	13	1	1	20	42	101	192	65	123	72	1005
OG0000022	11	27	9	9	23	16	7	4	7	123	32	72	18	62	13	33	98	40	63	28	77	80	78	54	16	1000
OG0000023	24	20	29	7	0	0	7	11	8	56	35	69	1	46	0	10	38	19	26	30	116	199	109	70	42	972
OG0000024	2	35	7	10	1	2	0	2	13	76	41	47	4	88	3	68	60	47	70	16	84	99	85	64	6	930
OG0000025	37	29	32	0	5	4	0	47	0	42	15	37	0	24	0	0	18	17	59	50	113	142	84	111	47	913
OG0000026	19	23	26	7	12	3	9	32	1	15	31	17	3	9	0	12	9	4	109	38	144	241	30	57	53	904
OG0000027	5	102	38	32	7	5	0	7	35	6	15	9	5	357	0	10	4	31	22	29	27	27	7	84	22	886
OG0000028	14	76	55	33	0	0	0	26	29	5	9	10	1	234	0	21	0	31	29	54	12	12	16	97	92	856
OG0000029	25	14	11	5	0	0	15	20	12	83	26	58	0	15	0	7	47	11	22	22	112	144	71	86	16	822
OG0000030	20	22	1	0	1	1	0	0	1	68	32	95	2	11	0	1	23	24	47	64	76	111	91	81	39	811
OG0000031	10	54	27	6	0	0	3	14	32	69	42	143	0	91	0	5	9	11	17	7	58	93	59	31	21	802
OG0000032	5	26	20	27	5	3	7	47	23	52	39	44	9	44	1	48	95	36	47	25	46	44	46	45	18	802
OG0000033	3	7	5	8	116	68	12	11	5	29	28	20	186	90	0	11	9	22	45	25	14	13	8	9	37	781
OG0000034	18	78	9	38	37	21	7	14	55	57	30	42	82	103	7	5	19	18	5	17	1	2	21	28	46	760
OG0000035	8	21	12	1	0	0	0	1	1	77	36	50	0	33	0	9	18	53	136	59	63	77	27	48	30	760
OG0000036	39	24	15	8	14	4	1	6	6	127	31	64	1	70	1	6	38	16	25	23	49	41	46	77	24	756
OG0000037	19	8	34	26	27	20	29	50	25	37	2	32	13	135	2	9	8	5	19	28	64	82	24	37	10	745
OG0000038	0	18	10	12	27	23	9	24	19	20	3	28	90	225	0	29	4	17	39	13	25	35	9	22	24	725
OG0000039	86	62	56	1	0	0	0	54	1	46	8	24	0	16	0	1	9	18	68	89	33	46	34	30	35	717
OG0000040	16	76	40	32	61	48	0	40	35	27	23	67	0	109	0	5	17	3	7	7	26	36	13	14	11	713
OG0000041	9	36	25	36	54	33	35	23	62	13	29	41	2	100	0	12	7	1	3	1	47	51	35	37	20	712
OG0000042	11	38	21	9	18	8	7	11	20	20	15	36	96	60	3	16	3	15	55	18	39	57	11	28	85	700
OG0000043	0	0	26	9	4	1	12	21	10	15	4	2	42	9	13	25	10	3	12	4	136	125	8	107	100	698
OG0000044	6	30	19	0	0	0	6	5	0	64	5	148	1	8	5	0	19	18	50	12	50	112	3	22	98	681
OG0000045	4	20	14	4	0	3	1	5	8	74	15	77	0	89	0	2	7	17	37	6	85	111	46	45	9	679
OG0000046	3	35	9	3	115	73	26	2	9	10	8	33	6	61	6	3	6	1	63	7	53	58	5	63	8	666
OG0000047	11	13	9	2	0	0	0	16	19	27	8	51	0	26	3	0	16	11	40	12	111	133	55	58	43	664
OG0000048	11	74	19	40	20	20	34	26	40	21	30	54	2	41	0	12	6	7	34	4	30	54	43	11	25	658
OG0000049	21	25	33	2	13	6	4	9	3	75	22	34	0	33	4	18	25	36	72	66	37	36	31	26	17	648
OG0000050	17	19	8	6	2	2	3	13	5	31	19	34	4	28	4	4	20	18	40	29	63	128	70	47	33	647
